ground truth image processing HAWK
Thu 18 Oct 15:18:45 BST 2018
118 EIG.1261.JPG 6003 7876 600 0 1183
119 EIG.1651.JPG 6007 7839 600 0 1226
120 EIG.2190.JPG 6003 7898 600 0 1161
121 EIG.2377.JPG 6009 7871 600 0 1197
122 EIG.2379.JPG 6009 7874 600 0 1194
123 EIG.2380.JPG 6007 7890 600 0 1175
124 EIG.2381.JPG 6009 7858 600 0 1210
125 EIG.2382.JPG 6008 7891 600 0 1176
126 EIG.2748.JPG 6008 7820 600 0 1247
127 EIG.2751.JPG 6008 7881 600 0 1186
128 EIG.2770.JPG 6009 7831 600 0 1237
129 EIG.2840.JPG 6007 7870 600 0 1195
130 EIG.3022.JPG 6009 7838 600 0 1230
131 EIG.381.JPG 6007 7894 600 0 1171
132 EIG.436.JPG 6007 7872 600 0 1193
133 EIG.437.JPG 6007 7817 600 0 1248
134 EIG.5686.JPG 6038 8028 600 0 1084
135 EIG.6494.JPG 6024 7895 600 0 1196
136 EIG.6714.JPG 6017 7854 600 0 1226
137 EIG.6727.JPG 6018 7885 600 0 1197
138 EIG.6762.JPG 6024 7846 600 0 1245
139 EIG.6763.JPG 6022 7924 600 0 1164
140 EIG.6951.JPG 6022 7896 600 0 1192
141 EIG.7034.JPG 6023 7878 600 0 1211
142 EIG.7053.JPG 6023 7876 600 0 1213
143 EIG.7060.JPG 6024 7868 600 0 1223
144 EIG.7061.JPG 6022 7871 600 0 1217
145 EIG.7145.JPG 6022 7827 600 0 1261
146 EIG.7147.JPG 6024 7858 600 0 1233
147 EIG.7151.JPG 6022 7865 600 0 1223
148 EIG.7234.JPG 6020 7904 600 0 1181
149 EIG.7443.JPG 6023 7893 600 0 1196
150 EIG.7613.JPG 6024 7913 600 0 1178
151 EIG.7743.JPG 6024 7844 600 0 1247
152 EIG.7788.JPG 6023 7868 600 0 1221
153 EIG.7879.JPG 6024 7883 600 0 1208
154 EIG.8123.JPG 6024 7855 600 0 1236
155 EIG.8145.JPG 6025 7896 600 0 1196
156 EIG.8147.JPG 6023 7873 600 0 1216
157 EIG.8322.JPG 6025 7892 600 0 1200
158 H.1027349.JPG 6007 7866 600 0 1199
159 H.1027364.JPG 6007 7833 600 0 1232
160 H.1034530.JPG 6007 7880 600 0 1185
161 H.1056221.JPG 6008 7845 600 0 1222
162 H.1056223.JPG 6009 7855 600 0 1213
163 H.1056231.JPG 6009 7826 600 0 1242
164 H.1069760.JPG 6010 7837 600 0 1233
165 H.1073986.JPG 6007 7836 600 0 1229
166 K000013094.JPG 6814 9861 600 0 422
167 K000018358.JPG 7760 10328 600 0 1383
168 K000025814.JPG 6237 9745 600 220 0
169 K000049450.JPG 7189 9785 600 0 1064
170 K000056711.JPG 6390 10048 600 268 0
171 K000203580.JPG 7163 10006 600 0 804
172 K000242782.JPG 7176 9902 600 0 927
173 K000345684.JPG 7215 9654 600 0 1234
174 K000363593.JPG 6824 10032 600 0 266
175 K000406288.JPG 7072 9615 600 0 1057
176 K000414594.JPG 7189 9993 600 0 856
177 K000432519.JPG 6654 9745 600 0 297
178 K000536956.JPG 6354 9889 600 199 0
179 K000543516.JPG 6996 10115 600 0 443
180 K000555694.JPG 6197 9772 600 278 0
181 K000773108.JPG 6933 10034 600 0 429
182 K000773177.JPG 6161 9891 600 393 0
183 K000807303.JPG 6876 9862 600 0 515
184 K000811192.JPG 6276 9805 600 221 0
185 K000821274.JPG 6376 9976 600 235 0
186 K000821741.JPG 6304 9991 600 317 0
187 K000828739.JPG 6310 10016 600 327 0
188 K000830619.JPG 6880 9920 600 0 463
189 K000833124.JPG 6319 9748 600 140 0
190 K000912136.JPG 7760 10328 600 0 1383
191 K000912223.JPG 7760 10328 600 0 1383
192 K000930539.JPG 7752 10320 600 0 1379
193 K000954210.JPG 7752 10320 600 0 1379
194 K000965982.JPG 6304 9976 600 307 0
195 K000972625.JPG 7760 10328 600 0 1383
196 K000996455.JPG 5861 9633 600 522 0
197 K001031711.JPG 7498 10328 600 0 987
198 K001044911.JPG 7752 10320 600 0 1379
199 K001049375.JPG 7752 10320 600 0 1379
200 K001054528.JPG 7752 10320 600 0 1379
201 K001136340.JPG 7752 10320 600 0 1379
202 L.1188986.JPG 3584 6289 300 584 0
203 L.1339282.JPG 3586 6205 300 526 0
204 L.1374725.JPG 3543 6272 300 614 0
205 L.1408236.JPG 3515 6241 300 621 0
206 L.1421587.JPG 3545 6236 300 588 0
207 L.1490251.JPG 3510 6257 300 637 0
208 L.1537752.JPG 3565 6252 300 578 0
209 L.1616068.JPG 3494 6329 300 700 0
210 L.1620333.JPG 3559 6279 300 602 0
211 L.1751618.JPG 3562 6254 300 583 0
212 L.1785984.JPG 3528 6265 300 624 0
213 L.1794692.JPG 3530 6258 300 617 0
214 L.1805114.JPG 3550 6259 300 598 0
215 L.1933299.JPG 3566 6299 300 609 0
216 L.1934962.JPG 3557 6284 300 608 0
217 L.2074028.JPG 3650 6227 300 477 0
218 L.2074347.JPG 3650 6227 300 477 0
219 L.2109497.JPG 3555 6161 300 528 0
220 L.2116756.JPG 3518 6267 300 635 0
221 L.2153797.JPG 3551 6305 300 628 0
222 L.2168354.JPG 3517 6255 300 628 0
223 L.2180891.JPG 3543 6323 300 647 0
224 L.2258736.JPG 3518 6260 300 631 0
225 L.2259981.JPG 3517 6261 300 632 0
226 L.2291420.JPG 3532 6304 300 646 0
227 L.2489324.JPG 3567 6293 300 604 0
228 L.2509958.JPG 3549 6278 300 612 0
229 L.2571799.JPG 3534 6260 300 615 0
230 L.2592773.JPG 3564 6281 300 599 0
231 L.2608838.JPG 3405 6430 300 856 0
232 L.3474871.JPG 3527 6307 300 653 0
233 L.3499241.JPG 3571 6307 300 609 0
234 L.3548739.JPG 3518 6321 300 671 0
235 L.3575783.JPG 3565 6292 300 605 0
236 L.3602388.JPG 3620 6301 300 556 0
237 L_0007231.JPG 7095 11786 600 715 0
/home/c.scman1/.conda/envs/semseg2/lib/python3.6/site-packages/PIL/Image.py:2546: DecompressionBombWarning: Image size (90453132 pixels) exceeds limit of 89478485 pixels, could be decompression bomb DOS attack.
  DecompressionBombWarning)
238 L_0007337.JPG 7227 12516 600 1067 0
239 L_0014277.JPG 6891 11656 600 833 0
240 L_0044156.JPG 6941 11783 600 867 0
241 L_0044240.JPG 7123 11566 600 541 0
242 L_0052013.JPG 6726 11398 600 827 0
243 L_0059912.JPG 6884 9328 600 0 1061
244 L_0491067.JPG 6982 11547 600 670 0
245 P00451097.JPG 3306 5211 300 148 0
246 P00642147.JPG 3209 5110 300 178 0
247 P00643727.JPG 3283 5071 300 78 0
248 P00713047.JPG 3189 4970 250 104 0
249 P02132367.JPG 3374 5177 300 57 0
250 P02733867.JPG 3330 4930 300 0 95
